x,y,z,bridge,tunnel
2234.542,-2428.428,263.174,0,0
2235.048,-2423.406,263.182,0,0
2235.371,-2418.109,263.217,0,0
2235.528,-2412.750,263.286,0,0
2235.426,-2407.425,263.388,0,0
2235.040,-2402.226,263.519,0,0
2234.401,-2397.061,263.662,0,0
2233.507,-2391.950,263.775,0,0
2232.338,-2386.912,263.803,0,0
2230.914,-2381.928,263.726,0,0
2229.290,-2376.982,263.574,0,0
2227.428,-2371.972,263.393,0,0
2225.359,-2367.001,263.204,0,0
2223.158,-2362.105,263.006,0,0
2220.861,-2357.274,262.797,0,0
2218.433,-2352.518,262.575,0,0
2215.890,-2348.006,262.341,0,0
2213.465,-2344.099,262.090,0,0
2210.943,-2340.399,261.804,0,0
2208.297,-2336.992,261.462,0,0
2205.813,-2334.141,261.122,0,0
2203.228,-2331.532,260.791,0,0
2200.447,-2329.284,260.470,0,0
2197.545,-2327.536,260.165,0,0
2194.462,-2326.121,259.859,0,0
2191.248,-2324.940,259.624,0,0
2187.754,-2323.966,259.670,0,0
2184.118,-2323.248,259.783,0,0
2180.379,-2322.646,259.933,0,0
2176.265,-2322.109,260.106,0,0
2172.035,-2321.706,260.298,0,0
2167.727,-2321.356,260.502,0,0
2163.107,-2321.029,260.718,0,0
2158.402,-2320.760,260.941,0,0
2153.665,-2320.508,261.173,0,0
2148.852,-2320.279,261.422,0,0
2144.006,-2320.068,261.720,0,0
2139.034,-2319.793,262.090,0,0
2133.442,-2319.415,262.523,0,0
2127.703,-2318.963,262.984,0,0
2121.905,-2318.370,263.446,0,0
2115.792,-2317.570,263.902,0,0
2109.616,-2316.618,264.349,0,0
2103.534,-2315.551,264.778,0,0
2097.773,-2314.451,265.178,0,0
2092.100,-2313.243,265.537,0,0
2086.580,-2311.838,265.849,0,0
2081.499,-2310.334,266.115,0,0
2076.556,-2308.651,266.347,0,0
2071.720,-2306.653,266.559,0,0
2066.803,-2304.242,266.755,0,0
2061.996,-2301.503,266.919,0,0
2057.550,-2298.447,267.033,0,0
2053.745,-2295.228,267.093,0,0
2050.266,-2291.723,267.109,0,0
2047.092,-2288.006,267.083,0,0
2044.334,-2284.141,267.012,0,0
2041.873,-2280.071,266.890,0,0
2039.478,-2275.853,266.707,0,0
2036.946,-2271.173,266.465,0,0
2034.489,-2266.326,266.173,0,0
2032.047,-2261.486,265.854,0,0
2029.615,-2256.692,265.526,0,0
2027.198,-2251.904,265.205,0,0
2024.800,-2247.273,264.900,0,0
